stn,mmdd,tavg,tmax,tmin,n
90,0101,0.9,5.1,-3.1,30
90,0102,0.8,5.0,-3.2,30
90,0103,0.8,4.9,-3.2,30
90,0104,0.7,4.9,-3.3,30
90,0105,0.6,4.8,-3.4,30
90,0106,0.5,4.6,-3.4,30
90,0107,0.3,4.5,-3.5,30
90,0108,0.3,4.5,-3.6,30
90,0109,0.3,4.5,-3.6,30
90,0110,0.3,4.4,-3.6,30
90,0111,0.2,4.3,-3.6,30
90,0112,0.2,4.3,-3.6,30
90,0113,0.2,4.3,-3.6,30
90,0114,0.1,4.2,-3.7,30
90,0115,0.1,4.1,-3.7,30
90,0116,-0.0,4.1,-3.9,30
90,0117,-0.1,3.9,-3.9,30
90,0118,-0.2,3.9,-4.0,30
90,0119,-0.2,3.8,-4.1,30
90,0120,-0.2,3.9,-4.1,30
90,0121,-0.1,3.9,-4.0,30
90,0122,-0.1,4.0,-4.0,30
90,0123,-0.0,3.9,-4.0,30
90,0124,-0.1,3.9,-4.0,30
90,0125,-0.2,3.9,-4.1,30
90,0126,-0.2,3.9,-4.2,30
90,0127,-0.2,3.9,-4.2,30
90,0128,-0.1,3.9,-4.2,30
90,0129,0.0,4.0,-4.1,30
90,0130,0.1,4.2,-4.0,30
90,0131,0.2,4.3,-3.9,30
90,0201,0.3,4.4,-3.8,30
90,0202,0.4,4.5,-3.7,30
90,0203,0.5,4.6,-3.6,30
90,0204,0.5,4.6,-3.6,30
90,0205,0.6,4.6,-3.5,30
90,0206,0.7,4.8,-3.4,30
90,0207,0.9,5.0,-3.2,30
90,0208,1.1,5.1,-3.0,30
90,0209,1.2,5.3,-2.9,30
90,0210,1.3,5.3,-2.8,30
90,0211,1.4,5.4,-2.6,30
90,0212,1.5,5.5,-2.6,30
90,0213,1.6,5.6,-2.4,30
90,0214,1.7,5.7,-2.4,30
90,0215,1.8,5.8,-2.3,30
90,0216,1.9,6.0,-2.1,30
90,0217,2.1,6.2,-2.0,30
90,0218,2.2,6.3,-1.8,30
90,0219,2.4,6.5,-1.7,30
90,0220,2.5,6.7,-1.5,30
90,0221,2.7,6.9,-1.4,30
90,0222,2.7,6.9,-1.4,30
90,0223,2.8,7.0,-1.3,30
90,0224,3.0,7.1,-1.1,30
90,0225,3.2,7.4,-0.9,30
90,0226,3.3,7.5,-0.8,30
90,0227,3.5,7.7,-0.7,30
90,0228,3.6,7.8,-0.5,30
90,0229,3.7,7.9,-0.4,0
90,0301,3.8,8.0,-0.3,30
90,0302,4.0,8.1,-0.1,30
90,0303,4.1,8.3,-0.0,30
90,0304,4.2,8.4,0.1,30
90,0305,4.4,8.5,0.2,30
90,0306,4.5,8.7,0.3,30
90,0307,4.6,8.8,0.4,30
90,0308,4.7,8.9,0.4,30
90,0309,4.9,9.1,0.6,30
90,0310,5.1,9.4,0.7,30
90,0311,5.4,9.7,0.9,30
90,0312,5.6,10.0,1.1,30
90,0313,5.7,10.1,1.3,30
90,0314,5.9,10.3,1.4,30
90,0315,6.1,10.5,1.6,30
90,0316,6.2,10.6,1.7,30
90,0317,6.4,10.7,1.9,30
90,0318,6.6,11.0,2.1,30
90,0319,6.8,11.3,2.3,30
90,0320,7.0,11.5,2.5,30
90,0321,7.2,11.7,2.7,30
90,0322,7.4,11.9,2.8,30
90,0323,7.6,12.1,3.1,30
90,0324,7.8,12.3,3.2,30
90,0325,7.9,12.4,3.4,30
90,0326,8.0,12.4,3.5,30
90,0327,8.1,12.6,3.6,30
90,0328,8.3,12.8,3.7,30
90,0329,8.5,13.0,4.0,30
90,0330,8.8,13.3,4.2,30
90,0331,9.0,13.5,4.5,30
90,0401,9.2,13.8,4.6,30
90,0402,9.4,14.0,4.8,30
90,0403,9.5,14.1,5.0,30
90,0404,9.6,14.1,5.1,30
90,0405,9.7,14.2,5.2,30
90,0406,9.9,14.4,5.5,30
90,0407,10.1,14.6,5.7,30
90,0408,10.4,15.0,5.9,30
90,0409,10.6,15.2,6.1,30
