issue_utc,lead_min,method,mae
2026-09-01 00:00:00,30,M0,10.186555862426758
2026-09-01 00:00:00,30,M4,7.760839462280273
2026-09-01 00:00:00,60,M0,12.729252815246582
2026-09-01 00:00:00,60,M4,9.868658065795898
2026-09-01 00:00:00,90,M0,14.79715347290039
2026-09-01 00:00:00,90,M4,11.780908584594728
2026-09-01 00:00:00,120,M0,16.784244537353516
2026-09-01 00:00:00,120,M4,13.532597541809082
2026-09-01 00:00:00,150,M0,18.23342514038086
2026-09-01 00:00:00,150,M4,14.966307640075684
2026-09-01 00:00:00,180,M0,19.588178634643555
2026-09-01 00:00:00,180,M4,16.216629028320312
2026-09-01 00:00:00,210,M0,21.17275047302246
2026-09-01 00:00:00,210,M4,17.34185791015625
2026-09-01 00:00:00,240,M0,22.39688301086425
2026-09-01 00:00:00,240,M4,18.371782302856445
2026-09-01 00:00:00,270,M0,23.38600730895996
2026-09-01 00:00:00,270,M4,19.243711471557617
2026-09-01 00:00:00,300,M0,23.889795303344727
2026-09-01 00:00:00,300,M4,20.06882667541504
2026-09-01 00:00:00,330,M0,24.084617614746094
2026-09-01 00:00:00,330,M4,20.48218536376953
2026-09-01 02:00:00,30,M0,11.13694190979004
2026-09-01 02:00:00,30,M4,8.634941101074219
2026-09-01 02:00:00,60,M0,14.134328842163086
2026-09-01 02:00:00,60,M4,10.91619110107422
2026-09-01 02:00:00,90,M0,16.488357543945312
2026-09-01 02:00:00,90,M4,12.424633026123049
2026-09-01 02:00:00,120,M0,18.242733001708984
2026-09-01 02:00:00,120,M4,13.529282569885254
2026-09-01 02:00:00,150,M0,19.55658721923828
2026-09-01 02:00:00,150,M4,14.620590209960938
2026-09-01 02:00:00,180,M0,21.06170463562012
2026-09-01 02:00:00,180,M4,16.06822395324707
2026-09-01 02:00:00,210,M0,21.040864944458008
2026-09-01 02:00:00,210,M4,16.742921829223633
2026-09-01 02:00:00,270,M0,20.99544715881348
2026-09-01 02:00:00,270,M4,18.012882232666016
2026-09-01 02:00:00,300,M0,20.915069580078125
2026-09-01 02:00:00,300,M4,18.286657333374023
2026-09-01 02:00:00,330,M0,20.7876205444336
2026-09-01 02:00:00,330,M4,18.44329261779785
2026-09-01 02:00:00,360,M0,20.79475975036621
2026-09-01 02:00:00,360,M4,18.405193328857425
2026-09-01 03:50:00,30,M0,11.273249626159668
2026-09-01 03:50:00,30,M4,8.78982925415039
2026-09-01 03:50:00,60,M0,13.858172416687012
2026-09-01 03:50:00,60,M4,10.665434837341309
2026-09-01 03:50:00,90,M0,15.167861938476562
2026-09-01 03:50:00,90,M4,11.938882827758787
2026-09-01 03:50:00,120,M0,16.190738677978516
2026-09-01 03:50:00,120,M4,13.148550987243652
2026-09-01 03:50:00,150,M0,16.969314575195312
2026-09-01 03:50:00,150,M4,14.31208038330078
2026-09-01 03:50:00,180,M0,17.86638069152832
2026-09-01 03:50:00,180,M4,15.300789833068848
2026-09-01 03:50:00,210,M0,18.52861785888672
2026-09-01 03:50:00,210,M4,16.168106079101562
2026-09-01 03:50:00,240,M0,19.34507369995117
2026-09-01 03:50:00,240,M4,17.182870864868164
2026-09-01 03:50:00,270,M0,20.531417846679688
2026-09-01 03:50:00,270,M4,18.08856201171875
2026-09-01 03:50:00,300,M0,21.653886795043945
2026-09-01 03:50:00,300,M4,18.65222930908203
2026-09-01 03:50:00,330,M0,22.860246658325195
2026-09-01 03:50:00,330,M4,18.872520446777344
2026-09-01 03:50:00,360,M0,22.937713623046875
2026-09-01 03:50:00,360,M4,19.16353988647461
2026-09-01 04:00:00,30,M0,11.21143913269043
2026-09-01 04:00:00,30,M4,8.780113220214844
2026-09-01 04:00:00,60,M0,13.80334186553955
2026-09-01 04:00:00,60,M4,10.735434532165527
2026-09-01 04:00:00,90,M0,15.061263084411621
2026-09-01 04:00:00,90,M4,12.019946098327637
2026-09-01 04:00:00,150,M0,16.974773406982422
2026-09-01 04:00:00,150,M4,14.36616325378418
2026-09-01 04:00:00,180,M0,17.888206481933594
2026-09-01 04:00:00,180,M4,15.263365745544434
2026-09-01 04:00:00,210,M0,18.74021339416504
2026-09-01 04:00:00,210,M4,16.11690902709961
2026-09-01 04:00:00,240,M0,19.762588500976562
2026-09-01 04:00:00,240,M4,17.1093807220459
2026-09-01 04:00:00,270,M0,20.960784912109375
2026-09-01 04:00:00,270,M4,17.97943878173828
2026-09-01 04:00:00,300,M0,22.434232711791992
2026-09-01 04:00:00,300,M4,18.583742141723633
2026-09-01 04:00:00,330,M0,23.028806686401367
2026-09-01 04:00:00,330,M4,18.374834060668945
2026-09-01 04:00:00,360,M0,24.31818962097168
2026-09-01 04:00:00,360,M4,19.538509368896484
