issue_utc,lead_min,method,mae,rmse,n_px
2026-08-14 16:00:00,30,M0,13.055980682373047,22.129947662353516,202500
2026-08-14 16:00:00,30,M1,10.468567848205566,17.76712417602539,202500
2026-08-14 16:00:00,30,M2,11.84421443939209,19.716875076293945,202500
2026-08-14 16:00:00,30,M3,10.325370788574219,17.132165908813477,202500
2026-08-14 16:00:00,60,M0,16.34181785583496,26.635011672973633,202500
2026-08-14 16:00:00,60,M1,13.659945487976074,21.605392456054688,202500
2026-08-14 16:00:00,60,M2,14.593596458435059,22.888389587402344,202500
2026-08-14 16:00:00,60,M3,13.480353355407715,20.796649932861328,202500
2026-08-14 16:00:00,120,M0,19.031652450561523,30.08262062072754,202500
2026-08-14 16:00:00,120,M1,15.90389347076416,23.90317153930664,202500
2026-08-14 16:00:00,120,M2,16.822336196899414,24.88414764404297,202500
2026-08-14 16:00:00,120,M3,16.822336196899414,24.88414764404297,202500
2026-08-14 16:00:00,180,M0,20.709590911865234,32.11820983886719,202500
2026-08-14 16:00:00,180,M1,16.917747497558594,24.844772338867188,202500
2026-08-14 16:00:00,180,M2,18.223880767822266,26.21518898010254,202500
2026-08-14 16:00:00,180,M3,18.223880767822266,26.21518898010254,202500
2026-08-14 17:00:00,30,M0,12.639931678771973,21.694473266601562,202500
2026-08-14 17:00:00,30,M1,10.324685096740723,17.65974235534668,202500
2026-08-14 17:00:00,30,M2,11.43663501739502,19.207231521606445,202500
2026-08-14 17:00:00,30,M3,10.14215087890625,16.91893196105957,202500
2026-08-14 17:00:00,60,M0,15.337602615356445,25.29823112487793,202500
2026-08-14 17:00:00,60,M1,12.950507164001465,20.41646957397461,202500
2026-08-14 17:00:00,60,M2,13.684730529785156,21.41082000732422,202500
2026-08-14 17:00:00,60,M3,12.713844299316406,19.42233657836914,202500
2026-08-14 17:00:00,120,M0,18.393999099731445,29.217618942260742,202500
2026-08-14 17:00:00,120,M1,15.528352737426758,22.856626510620117,202500
2026-08-14 17:00:00,120,M2,16.174219131469727,23.938234329223633,202500
2026-08-14 17:00:00,120,M3,16.174219131469727,23.938234329223633,202500
2026-08-14 17:00:00,180,M0,20.11614990234375,31.26063346862793,202500
2026-08-14 17:00:00,180,M1,16.580219268798828,23.883317947387695,202500
2026-08-14 17:00:00,180,M2,17.639236450195312,25.274051666259766,202500
2026-08-14 17:00:00,180,M3,17.639236450195312,25.274051666259766,202500
2026-08-14 18:00:00,30,M0,12.00860595703125,20.76968765258789,202500
2026-08-14 18:00:00,30,M1,9.24837875366211,16.035022735595703,202500
2026-08-14 18:00:00,30,M2,10.769990921020508,18.26653480529785,202500
2026-08-14 18:00:00,30,M3,9.211883544921875,15.6507568359375,202500
2026-08-14 18:00:00,60,M0,15.022642135620117,25.023067474365234,202500
2026-08-14 18:00:00,60,M1,12.01069164276123,19.299423217773438,202500
2026-08-14 18:00:00,60,M2,13.301094055175781,21.13978385925293,202500
2026-08-14 18:00:00,60,M3,12.126538276672363,18.979639053344727,202500
2026-08-14 18:00:00,120,M0,17.879194259643555,28.794353485107422,202500
2026-08-14 18:00:00,120,M1,14.533516883850098,21.862985610961914,202500
2026-08-14 18:00:00,120,M2,15.684113502502441,23.41090202331543,202500
2026-08-14 18:00:00,120,M3,15.684113502502441,23.41090202331543,202500
2026-08-14 18:00:00,180,M0,20.316509246826172,31.463560104370117,202500
2026-08-14 18:00:00,180,M1,16.35611343383789,24.056400299072266,202500
2026-08-14 18:00:00,180,M2,17.517677307128906,25.31248664855957,202500
2026-08-14 18:00:00,180,M3,17.517677307128906,25.31248664855957,202500
2026-08-14 19:00:00,30,M0,11.910494804382324,20.524694442749023,202500
2026-08-14 19:00:00,30,M1,9.217962265014648,15.960614204406738,202500
2026-08-14 19:00:00,30,M2,10.607254028320312,17.920373916625977,202500
2026-08-14 19:00:00,30,M3,9.130963325500488,15.47890853881836,202500
2026-08-14 19:00:00,60,M0,14.915495872497559,24.791671752929688,202500
2026-08-14 19:00:00,60,M1,12.279892921447754,19.797582626342773,202500
2026-08-14 19:00:00,60,M2,13.142924308776855,20.894451141357422,202500
2026-08-14 19:00:00,60,M3,12.128817558288574,19.015960693359375,202500
2026-08-14 19:00:00,120,M0,18.77790069580078,29.66104507446289,202500
2026-08-14 19:00:00,120,M1,15.51504898071289,23.352571487426758,202500
2026-08-14 19:00:00,120,M2,16.183292388916016,24.17885971069336,202500
2026-08-14 19:00:00,120,M3,16.183292388916016,24.17885971069336,202500
2026-08-14 19:00:00,180,M0,20.831071853637695,31.845420837402344,202500
2026-08-14 19:00:00,180,M1,16.865219116210938,24.435123443603516,202500
2026-08-14 19:00:00,180,M2,17.916213989257812,25.886323928833008,202500
2026-08-14 19:00:00,180,M3,17.916213989257812,25.886323928833008,202500
2026-08-14 20:00:00,30,M0,11.912384033203125,20.381732940673828,202500
2026-08-14 20:00:00,30,M1,9.303523063659668,16.056520462036133,202500
2026-08-14 20:00:00,30,M2,10.622442245483398,17.8641357421875,202500
2026-08-14 20:00:00,30,M3,9.22392463684082,15.596227645874023,202500
2026-08-14 20:00:00,60,M0,15.669936180114746,25.61669158935547,202500
