issue_utc,lead_min,method,mae,rmse,n_px
2025-10-01 23:00:00,30,M0,11.537456512451172,22.917034149169922,202500
2025-10-01 23:00:00,30,M1,9.440559387207031,18.710535049438477,202500
2025-10-01 23:00:00,30,M4,9.106599807739258,17.2598934173584,202500
2025-10-01 23:00:00,60,M0,14.813155174255371,27.824968338012695,202500
2025-10-01 23:00:00,60,M1,13.024645805358887,23.395658493041992,202500
2025-10-01 23:00:00,60,M4,12.125150680541992,21.396800994873047,202500
2025-10-01 23:00:00,120,M0,18.679290771484375,32.87169647216797,202500
2025-10-01 23:00:00,120,M1,17.56793785095215,28.400388717651367,202500
2025-10-01 23:00:00,120,M4,16.505531311035156,26.769813537597656,202500
2025-10-01 23:00:00,180,M0,20.91732406616211,35.82402801513672,202500
2025-10-01 23:00:00,180,M1,20.696992874145508,31.8892879486084,202500
2025-10-01 23:00:00,180,M4,20.169668197631836,32.762393951416016,202500
2025-10-01 23:00:00,240,M0,23.079561233520508,38.34366226196289,202500
2025-10-01 23:00:00,240,M1,23.65199089050293,34.791805267333984,202500
2025-10-01 23:00:00,240,M4,23.496212005615234,36.92695617675781,202500
2025-10-01 23:00:00,300,M0,24.673809051513672,39.82432174682617,202500
2025-10-01 23:00:00,300,M1,24.968015670776367,35.66440200805664,202500
2025-10-01 23:00:00,300,M4,26.482532501220703,40.95199966430664,202500
2025-10-01 23:00:00,360,M0,24.29418182373047,39.158050537109375,202500
2025-10-01 23:00:00,360,M1,25.172632217407227,35.0638542175293,202500
2025-10-01 23:00:00,360,M4,28.44274139404297,42.93146514892578,202500
2025-10-02 10:00:00,30,M0,7.367784023284912,16.814367294311523,202500
2025-10-02 10:00:00,30,M1,5.791403293609619,13.461893081665039,202500
2025-10-02 10:00:00,30,M4,5.821252346038818,12.580368041992188,202500
2025-10-02 10:00:00,60,M0,9.030577659606934,19.800827026367188,202500
2025-10-02 10:00:00,60,M1,7.385587692260742,15.764549255371094,202500
2025-10-02 10:00:00,60,M4,7.107726573944092,14.873270988464355,202500
2025-10-02 10:00:00,120,M0,10.997148513793945,23.004756927490234,202500
2025-10-02 10:00:00,120,M1,9.66751480102539,18.676523208618164,202500
2025-10-02 10:00:00,120,M4,9.199172019958496,18.12777328491211,202500
2025-10-02 10:00:00,180,M0,12.271828651428223,24.709613800048828,202500
2025-10-02 10:00:00,180,M1,11.256397247314453,20.853086471557617,202500
2025-10-02 10:00:00,180,M4,10.776226997375488,21.343610763549805,202500
2025-10-02 10:00:00,240,M0,13.001077651977539,25.70598602294922,202500
2025-10-02 10:00:00,240,M1,11.871248245239258,21.6419620513916,202500
2025-10-02 10:00:00,240,M4,11.91586685180664,23.14892578125,202500
2025-10-02 10:00:00,300,M0,13.426349639892578,26.530494689941406,202500
2025-10-02 10:00:00,300,M1,12.03000259399414,21.639408111572266,202500
2025-10-02 10:00:00,300,M4,12.329763412475586,24.426240921020508,202500
2025-10-02 10:00:00,360,M0,14.253324508666992,27.828195571899414,202500
2025-10-02 10:00:00,360,M1,12.097012519836426,21.711042404174805,202500
2025-10-02 10:00:00,360,M4,12.630495071411133,24.839967727661133,202500
2025-10-02 11:00:00,30,M0,7.666387557983398,17.362346649169922,202500
2025-10-02 11:00:00,30,M1,5.770645618438721,13.421443939208984,202500
2025-10-02 11:00:00,30,M4,5.947144508361816,12.939732551574707,202500
2025-10-02 11:00:00,60,M0,9.349531173706055,20.28125762939453,202500
2025-10-02 11:00:00,60,M1,7.742691516876221,16.35971450805664,202500
2025-10-02 11:00:00,60,M4,7.332503795623779,15.285346984863281,202500
2025-10-02 11:00:00,120,M0,11.446290016174316,23.511898040771484,202500
2025-10-02 11:00:00,120,M1,9.687301635742188,18.875606536865234,202500
2025-10-02 11:00:00,120,M4,9.189565658569336,17.952388763427734,202500
2025-10-02 11:00:00,180,M0,12.79010009765625,25.511554718017578,202500
2025-10-02 11:00:00,180,M1,10.680981636047363,20.049171447753906,202500
2025-10-02 11:00:00,180,M4,10.766444206237793,21.11163330078125,202500
2025-10-02 11:00:00,240,M0,13.20564079284668,26.293493270874023,202500
2025-10-02 11:00:00,240,M1,11.225637435913086,20.634132385253906,202500
2025-10-02 11:00:00,240,M4,10.900518417358398,21.306533813476562,202500
2025-10-02 11:00:00,300,M0,14.000906944274902,27.53868865966797,202500
2025-10-02 11:00:00,300,M1,11.752792358398438,20.949132919311523,202500
2025-10-02 11:00:00,300,M4,11.327335357666016,22.487445831298828,202500
2025-10-02 11:00:00,360,M0,15.990020751953125,30.160114288330078,202500
2025-10-02 11:00:00,360,M1,12.624761581420898,22.109783172607422,202500
2025-10-02 11:00:00,360,M4,12.343685150146484,24.06004524230957,202500
2025-10-02 12:00:00,30,M0,7.807244300842285,17.44188690185547,202500
2025-10-02 12:00:00,30,M1,5.719070911407471,12.998697280883789,202500
2025-10-02 12:00:00,30,M4,5.859530925750732,12.594888687133789,202500
2025-10-02 12:00:00,60,M0,9.494267463684082,20.106857299804688,202500
2025-10-02 12:00:00,60,M1,7.581906318664551,15.81333065032959,202500
2025-10-02 12:00:00,60,M4,7.2360005378723145,14.87877368927002,202500
2025-10-02 12:00:00,120,M0,11.73595905303955,23.77370262145996,202500
2025-10-02 12:00:00,120,M1,10.015859603881836,19.415273666381836,202500
2025-10-02 12:00:00,120,M4,9.395413398742676,18.264978408813477,202500
2025-10-02 12:00:00,180,M0,12.478082656860352,25.045429229736328,202500
2025-10-02 12:00:00,180,M1,11.824723243713379,21.465635299682617,202500
2025-10-02 12:00:00,180,M4,10.473992347717285,20.481786727905273,202500
2025-10-02 12:00:00,240,M0,13.431418418884277,26.581157684326172,202500
2025-10-02 12:00:00,240,M1,12.339634895324707,21.791139602661133,202500
2025-10-02 12:00:00,240,M4,10.874261856079102,21.209335327148438,202500
2025-10-02 12:00:00,300,M0,15.056205749511719,28.91303253173828,202500
2025-10-02 12:00:00,300,M1,12.897318840026855,22.3680362701416,202500
2025-10-02 12:00:00,300,M4,12.12855052947998,23.78255844116211,202500
2025-10-02 12:00:00,360,M0,16.981416702270508,31.181285858154297,202500
2025-10-02 12:00:00,360,M1,13.155895233154297,22.57196807861328,202500
2025-10-02 12:00:00,360,M4,12.576249122619629,24.40907859802246,202500
2025-10-02 13:00:00,30,M0,7.9255051612854,17.551883697509766,202500
2025-10-02 13:00:00,30,M1,5.743959426879883,12.908641815185547,202500
2025-10-02 13:00:00,30,M4,5.88071870803833,12.347938537597656,202500
2025-10-02 13:00:00,60,M0,9.838071823120117,20.823097229003906,202500
2025-10-02 13:00:00,60,M1,7.593101978302002,15.829614639282227,202500
2025-10-02 13:00:00,60,M4,7.165261268615723,14.415502548217773,202500
2025-10-02 13:00:00,120,M0,11.700839042663574,23.9330997467041,202500
2025-10-02 13:00:00,120,M1,9.688043594360352,18.50063133239746,202500
2025-10-02 13:00:00,120,M4,8.672038078308105,16.46161460876465,202500
2025-10-02 13:00:00,180,M0,12.76366138458252,25.552345275878906,202500
