issue_utc,lead_min,method,mae,rmse,n_px
2026-03-31 16:00:00,30,M0,11.395052909851074,21.92424964904785,202500
2026-03-31 16:00:00,30,M1,9.684700012207031,19.080549240112305,202500
2026-03-31 16:00:00,60,M0,15.775464057922363,28.137157440185547,202500
2026-03-31 16:00:00,60,M1,13.042594909667969,22.988601684570312,202500
2026-03-31 16:00:00,120,M0,20.32870864868164,34.164730072021484,202500
2026-03-31 16:00:00,120,M1,16.177371978759766,26.363340377807617,202500
2026-03-31 16:00:00,180,M0,22.0764102935791,36.42474365234375,202500
2026-03-31 16:00:00,180,M1,17.895423889160156,27.7358455657959,202500
2026-03-31 16:00:00,240,M0,23.256587982177734,38.0218391418457,202500
2026-03-31 16:00:00,240,M1,18.496788024902344,28.133033752441406,202500
2026-03-31 16:00:00,300,M0,23.635772705078125,38.39775466918945,202500
2026-03-31 16:00:00,300,M1,19.17841148376465,28.599950790405273,202500
2026-03-31 16:00:00,360,M0,25.2829532623291,40.169349670410156,202500
2026-03-31 16:00:00,360,M1,20.334735870361328,29.578901290893555,202500
2026-03-31 17:00:00,30,M0,11.501604080200195,22.06669044494629,202500
2026-03-31 17:00:00,30,M1,9.75723934173584,18.904029846191406,202500
2026-03-31 17:00:00,60,M0,15.069881439208984,27.36551856994629,202500
2026-03-31 17:00:00,60,M1,12.901527404785156,23.0108585357666,202500
2026-03-31 17:00:00,120,M0,19.0773868560791,32.75638198852539,202500
2026-03-31 17:00:00,120,M1,16.236499786376953,26.372215270996094,202500
2026-03-31 17:00:00,180,M0,21.065505981445312,35.352264404296875,202500
2026-03-31 17:00:00,180,M1,16.876718521118164,26.1687068939209,202500
2026-03-31 17:00:00,240,M0,21.736923217773438,36.17194747924805,202500
2026-03-31 17:00:00,240,M1,17.6978816986084,26.6814022064209,202500
2026-03-31 17:00:00,300,M0,23.599210739135742,38.13823699951172,202500
2026-03-31 17:00:00,300,M1,18.897716522216797,27.510623931884766,202500
2026-03-31 17:00:00,360,M0,25.667495727539062,40.184566497802734,202500
2026-03-31 17:00:00,360,M1,20.286121368408203,29.01210594177246,202500
