issue_utc,lead_min,method,mae,rmse,n_px
2026-04-01 05:00:00,30,M0,10.075689315795898,20.415761947631836,202500
2026-04-01 05:00:00,30,M1,8.096343040466309,16.3183536529541,202500
2026-04-01 05:00:00,30,M4,7.79150915145874,14.62721061706543,202500
2026-04-01 05:00:00,60,M0,13.091500282287598,25.14772605895996,202500
2026-04-01 05:00:00,60,M1,10.990839958190918,20.464527130126953,202500
2026-04-01 05:00:00,60,M4,10.51186466217041,18.27467155456543,202500
2026-04-01 05:00:00,120,M0,17.029848098754883,30.897062301635742,202500
2026-04-01 05:00:00,120,M1,13.869215965270996,23.3167724609375,202500
2026-04-01 05:00:00,120,M4,14.40919303894043,22.758804321289062,202500
2026-04-01 05:00:00,180,M0,20.032732009887695,34.991580963134766,202500
2026-04-01 05:00:00,180,M1,16.339445114135742,26.152070999145508,202500
2026-04-01 05:00:00,180,M4,18.015625,26.808576583862305,202500
2026-04-01 05:00:00,240,M0,24.44268226623535,40.070919036865234,202500
2026-04-01 05:00:00,240,M1,19.464847564697266,29.981332778930664,202500
2026-04-01 05:00:00,240,M4,20.39692497253418,29.39368438720703,202500
2026-04-01 05:00:00,300,M0,31.9462890625,47.84602737426758,202500
2026-04-01 05:00:00,300,M1,25.674400329589844,36.99159240722656,202500
2026-04-01 05:00:00,300,M4,23.61672592163086,33.25881576538086,202500
2026-04-01 05:00:00,360,M0,29.081357955932617,44.77983474731445,202500
2026-04-01 05:00:00,360,M1,23.977975845336914,33.75861740112305,202500
2026-04-01 05:00:00,360,M4,23.482160568237305,32.42756271362305,202500
2026-04-01 06:00:00,30,M0,9.920524597167969,20.076871871948242,202500
2026-04-01 06:00:00,30,M1,7.755243301391602,15.521848678588867,202500
2026-04-01 06:00:00,30,M4,7.597853660583496,14.287101745605469,202500
2026-04-01 06:00:00,60,M0,13.024264335632324,25.135875701904297,202500
2026-04-01 06:00:00,60,M1,10.413345336914062,19.298114776611328,202500
2026-04-01 06:00:00,60,M4,9.943828582763672,17.607208251953125,202500
2026-04-01 06:00:00,120,M0,17.486797332763672,31.689159393310547,202500
2026-04-01 06:00:00,120,M1,14.279861450195312,23.877927780151367,202500
2026-04-01 06:00:00,120,M4,13.803799629211426,22.47313690185547,202500
2026-04-01 06:00:00,180,M0,22.68441390991211,37.984500885009766,202500
2026-04-01 06:00:00,180,M1,18.170652389526367,28.762880325317383,202500
2026-04-01 06:00:00,180,M4,17.5030460357666,26.786792755126953,202500
2026-04-01 06:00:00,240,M0,31.17178726196289,46.918827056884766,202500
2026-04-01 06:00:00,240,M1,24.994945526123047,36.68880081176758,202500
2026-04-01 06:00:00,240,M4,21.544933319091797,31.850204467773438,202500
2026-04-01 06:00:00,300,M0,28.192419052124023,43.789344787597656,202500
2026-04-01 06:00:00,300,M1,22.70810890197754,32.418521881103516,202500
2026-04-01 06:00:00,300,M4,20.15004539489746,29.722881317138672,202500
2026-04-01 06:00:00,360,M0,30.69883918762207,46.29581832885742,202500
2026-04-01 06:00:00,360,M1,24.9029483795166,34.40438461303711,202500
2026-04-01 06:00:00,360,M4,21.48526954650879,31.669008255004883,202500
2026-04-01 07:00:00,30,M0,10.180764198303223,20.86295509338379,202500
2026-04-01 07:00:00,30,M1,7.867362976074219,15.821285247802734,202500
2026-04-01 07:00:00,30,M4,7.7023468017578125,14.547158241271973,202500
2026-04-01 07:00:00,60,M0,13.865607261657715,26.708797454833984,202500
2026-04-01 07:00:00,60,M1,10.839007377624512,19.985721588134766,202500
2026-04-01 07:00:00,60,M4,10.2645902633667,18.06688117980957,202500
2026-04-01 07:00:00,120,M0,19.894817352294922,34.723506927490234,202500
2026-04-01 07:00:00,120,M1,15.682404518127441,25.969459533691406,202500
2026-04-01 07:00:00,120,M4,15.218064308166504,24.243030548095703,202500
2026-04-01 07:00:00,180,M0,28.602256774902344,44.45744323730469,202500
2026-04-01 07:00:00,180,M1,23.238004684448242,34.99767303466797,202500
2026-04-01 07:00:00,180,M4,20.511943817138672,31.00394630432129,202500
2026-04-01 07:00:00,240,M0,26.178449630737305,41.70425796508789,202500
2026-04-01 07:00:00,240,M1,20.69187355041504,30.479934692382812,202500
2026-04-01 07:00:00,240,M4,18.284534454345703,27.32587242126465,202500
2026-04-01 07:00:00,300,M0,28.584869384765625,44.229576110839844,202500
2026-04-01 07:00:00,300,M1,22.90367889404297,32.952144622802734,202500
2026-04-01 07:00:00,300,M4,19.608320236206055,29.44806480407715,202500
2026-04-01 07:00:00,360,M0,30.75786590576172,46.55299758911133,202500
2026-04-01 07:00:00,360,M1,24.580944061279297,34.413352966308594,202500
2026-04-01 07:00:00,360,M4,21.203340530395508,31.53466796875,202500
2026-04-01 09:00:00,30,M0,16.022014617919922,29.92890167236328,202500
2026-04-01 09:00:00,30,M1,15.437333106994629,28.92698860168457,202500
2026-04-01 09:00:00,30,M4,13.80318546295166,24.659435272216797,202500
2026-04-01 09:00:00,60,M0,19.594249725341797,34.88295364379883,202500
2026-04-01 09:00:00,60,M1,18.45646858215332,31.811344146728516,202500
2026-04-01 09:00:00,60,M4,17.12833023071289,28.548442840576172,202500
2026-04-01 09:00:00,120,M0,19.933481216430664,34.88629150390625,202500
2026-04-01 09:00:00,120,M1,17.178834915161133,27.236913681030273,202500
2026-04-01 09:00:00,120,M4,14.726511001586914,23.553512573242188,202500
2026-04-01 09:00:00,180,M0,22.665599822998047,38.18192672729492,202500
2026-04-01 09:00:00,180,M1,19.678579330444336,29.335012435913086,202500
2026-04-01 09:00:00,180,M4,16.65797996520996,26.246139526367188,202500
2026-04-01 09:00:00,240,M0,24.93257713317871,40.84107971191406,202500
2026-04-01 09:00:00,240,M1,21.341232299804688,30.686613082885742,202500
2026-04-01 09:00:00,240,M4,18.53053092956543,28.6324520111084,202500
2026-04-01 09:00:00,300,M0,27.2122859954834,43.29225158691406,202500
2026-04-01 09:00:00,300,M1,22.894685745239258,32.02311325073242,202500
2026-04-01 09:00:00,300,M4,20.760404586791992,31.307071685791016,202500
2026-04-01 09:00:00,360,M0,29.461183547973633,45.78144836425781,202500
2026-04-01 09:00:00,360,M1,24.549057006835938,33.655174255371094,202500
2026-04-01 09:00:00,360,M4,22.61693572998047,33.11601257324219,202500
2026-04-01 10:00:00,30,M0,15.956344604492188,30.887779235839844,202500
2026-04-01 10:00:00,30,M1,15.103307723999023,29.09613800048828,202500
2026-04-01 10:00:00,30,M4,10.032346725463867,18.583526611328125,202500
2026-04-01 10:00:00,60,M0,18.60626983642578,34.12106704711914,202500
2026-04-01 10:00:00,60,M1,17.45284652709961,30.666765213012695,202500
2026-04-01 10:00:00,60,M4,11.403167724609375,20.215116500854492,202500
2026-04-01 10:00:00,120,M0,21.612083435058594,37.5246696472168,202500
2026-04-01 10:00:00,120,M1,19.87666893005371,31.5429630279541,202500
2026-04-01 10:00:00,120,M4,14.049871444702148,23.53116226196289,202500
2026-04-01 10:00:00,180,M0,24.560029983520508,40.910400390625,202500
2026-04-01 10:00:00,180,M1,22.00238037109375,32.66634750366211,202500
2026-04-01 10:00:00,180,M4,16.51289176940918,26.330034255981445,202500
2026-04-01 10:00:00,240,M0,26.753934860229492,43.176300048828125,202500
2026-04-01 10:00:00,240,M1,24.124225616455078,34.21930694580078,202500
2026-04-01 10:00:00,240,M4,19.349945068359375,29.527507781982422,202500
2026-04-01 10:00:00,300,M0,28.980443954467773,45.64897918701172,202500
2026-04-01 10:00:00,300,M1,26.13408088684082,35.658512115478516,202500
2026-04-01 10:00:00,300,M4,21.647079467773438,31.89051055908203,202500
2026-04-01 10:00:00,360,M0,31.004575729370117,47.548126220703125,202500
2026-04-01 10:00:00,360,M1,27.676084518432617,36.43891906738281,202500
2026-04-01 10:00:00,360,M4,24.338455200195312,34.67405319213867,202500
2026-04-01 11:00:00,30,M0,9.22435188293457,19.9366512298584,202500
2026-04-01 11:00:00,30,M1,8.780570983886719,18.50093650817871,202500
2026-04-01 11:00:00,30,M4,7.416769981384277,14.520973205566406,202500
2026-04-01 11:00:00,60,M0,12.11550235748291,25.02186393737793,202500
2026-04-01 11:00:00,60,M1,11.548535346984863,22.21315574645996,202500
2026-04-01 11:00:00,60,M4,9.89150333404541,18.05670738220215,202500
