STN,lon,lat,name
90,128.56473,38.25085,속초
93,127.75443,37.94738,북춘천
95,127.3042,38.14787,철원
98,127.0607,37.90188,동두천
99,126.76648,37.88589,파주
100,128.71834,37.67713,대관령
101,127.7357,37.90262,춘천
102,124.71237,37.97396,백령도
104,128.85535,37.80456,북강릉
105,128.89099,37.75147,강릉
106,129.12433,37.50709,동해
108,126.9658,37.57142,서울
112,126.6249,37.47772,인천
114,127.94659,37.33749,원주
115,130.89863,37.48129,울릉도
119,126.983,37.25746,수원
121,128.45743,37.18126,영월
127,127.9525,36.97045,충주
129,126.4939,36.77658,서산
130,129.41278,36.99176,울진
131,127.44066,36.63924,청주
133,127.3721,36.37199,대전
135,127.99458,36.22025,추풍령
136,128.70733,36.57293,안동
137,128.15741,36.40837,상주
138,129.38002,36.03201,포항
140,126.76135,36.0053,군산
143,128.65296,35.87797,대구
146,127.11718,35.84092,전주
152,129.33469,35.58237,울산
155,128.57282,35.17019,창원
156,126.89156,35.17294,광주
159,129.03203,35.10468,부산
162,128.43561,34.84541,통영
165,126.38151,34.81732,목포
168,127.74063,34.73929,여수
169,125.45105,34.68719,흑산도
170,126.70182,34.3959,완도
172,126.599,35.34824,고창
174,127.3694,35.0204,순천
177,126.68772,36.65759,홍성
181,127.38458,36.63994,서청주
184,126.52969,33.51411,제주
185,126.16283,33.29382,고산
188,126.8802,33.38677,성산
189,126.5653,33.24616,서귀포
192,128.04004,35.16378,진주
201,126.44634,37.70739,강화
202,127.49446,37.48863,양평
203,127.48421,37.26399,이천
211,128.16811,38.05991,인제
212,127.88043,37.6836,홍천
216,128.98929,37.17038,태백
217,128.67312,37.38071,정선군
221,128.19433,37.15928,제천
226,127.73415,36.48761,보은
232,127.29282,36.76217,천안
235,126.55744,36.32724,보령
236,126.92079,36.27242,부여
238,127.48175,36.10563,금산
239,127.24438,36.48522,세종
243,126.71657,35.72961,부안
244,127.28556,35.61203,임실
245,126.83904,35.56333,정읍
247,127.39652,35.4213,남원
248,127.52031,35.65696,장수
251,126.69231,35.42346,고창군
252,126.47784,35.28366,영광군
253,128.89075,35.22981,김해시
254,127.1286,35.37131,순창군
255,128.6726,35.22655,북창원
257,129.02009,35.30737,양산시
258,127.21226,34.76335,보성군
259,126.78408,34.64457,강진군
260,126.91951,34.68886,장흥
261,126.56907,34.55375,해남
262,127.27572,34.61826,고흥
263,128.28812,35.32258,의령군
264,127.74538,35.51138,함양군
266,127.6914,34.9434,광양시
268,126.25846,34.47296,진도군
271,128.91449,36.94361,봉화
272,128.51687,36.87183,영주
273,128.14879,36.62727,문경
276,129.04005,36.4351,청송군
277,129.40926,36.53337,영덕
278,128.68864,36.3561,의성
279,128.32055,36.13055,구미
281,128.9514,35.97742,영천
283,129.20123,35.81747,경주시
284,127.9099,35.66739,거창
285,128.16994,35.56505,합천
288,128.74412,35.49147,밀양
289,127.8791,35.413,산청
294,128.60459,34.88818,거제
295,127.92641,34.81662,남해
296,128.96024,35.21778,북부산
