valid_kst,city,model,run_utc,step_h,lead_day,var,fcst,obs,err
2026-08-14 00:00:00,강릉,ECMWF,2026-08-13 12:00:00,3,0,t2m,23.8,23.1,0.7
2026-08-14 00:00:00,강릉,ECMWF,2026-08-13 12:00:00,3,0,tcc,100.0,100.0,0.0
2026-08-14 00:00:00,광주,ECMWF,2026-08-13 12:00:00,3,0,t2m,24.7,26.1,-1.4
2026-08-14 00:00:00,광주,ECMWF,2026-08-13 12:00:00,3,0,tcc,34.0,100.0,-66.0
2026-08-14 00:00:00,대구,ECMWF,2026-08-13 12:00:00,3,0,t2m,23.6,26.5,-2.9
2026-08-14 00:00:00,대구,ECMWF,2026-08-13 12:00:00,3,0,tcc,8.0,70.0,-62.0
2026-08-14 00:00:00,대전,ECMWF,2026-08-13 12:00:00,3,0,t2m,23.7,24.9,-1.2
2026-08-14 00:00:00,대전,ECMWF,2026-08-13 12:00:00,3,0,tcc,4.0,30.0,-26.0
2026-08-14 00:00:00,부산,ECMWF,2026-08-13 12:00:00,3,0,t2m,26.9,25.7,1.2
2026-08-14 00:00:00,부산,ECMWF,2026-08-13 12:00:00,3,0,tcc,3.0,20.0,-17.0
2026-08-14 00:00:00,서울,ECMWF,2026-08-13 12:00:00,3,0,t2m,26.6,25.9,0.7
2026-08-14 00:00:00,서울,ECMWF,2026-08-13 12:00:00,3,0,tcc,12.0,60.0,-48.0
2026-08-14 00:00:00,수원,ECMWF,2026-08-13 12:00:00,3,0,t2m,25.8,25.8,0.0
2026-08-14 00:00:00,수원,ECMWF,2026-08-13 12:00:00,3,0,tcc,13.0,50.0,-37.0
2026-08-14 00:00:00,인천,ECMWF,2026-08-13 12:00:00,3,0,t2m,26.2,26.2,0.0
2026-08-14 00:00:00,인천,ECMWF,2026-08-13 12:00:00,3,0,tcc,73.0,30.0,43.0
2026-08-14 00:00:00,전주,ECMWF,2026-08-13 12:00:00,3,0,t2m,25.1,25.5,-0.4
2026-08-14 00:00:00,전주,ECMWF,2026-08-13 12:00:00,3,0,tcc,38.0,60.0,-22.0
2026-08-14 00:00:00,제주,ECMWF,2026-08-13 12:00:00,3,0,t2m,23.7,26.1,-2.4
2026-08-14 00:00:00,제주,ECMWF,2026-08-13 12:00:00,3,0,tcc,38.0,70.0,-32.0
2026-08-14 03:00:00,강릉,ECMWF,2026-08-13 12:00:00,6,0,t2m,23.3,23.1,0.2
2026-08-14 03:00:00,강릉,ECMWF,2026-08-13 12:00:00,6,0,tcc,100.0,70.0,30.0
2026-08-14 03:00:00,강릉,GFS,2026-08-13 18:00:00,0,0,t2m,22.7,23.1,-0.4
2026-08-14 03:00:00,강릉,GFS,2026-08-13 18:00:00,0,0,tcc,100.0,70.0,30.0
2026-08-14 03:00:00,광주,ECMWF,2026-08-13 12:00:00,6,0,t2m,22.7,25.1,-2.4
2026-08-14 03:00:00,광주,ECMWF,2026-08-13 12:00:00,6,0,tcc,28.0,70.0,-42.0
2026-08-14 03:00:00,광주,GFS,2026-08-13 18:00:00,0,0,t2m,20.7,25.1,-4.4
2026-08-14 03:00:00,광주,GFS,2026-08-13 18:00:00,0,0,tcc,82.0,70.0,12.0
2026-08-14 03:00:00,대구,ECMWF,2026-08-13 12:00:00,6,0,t2m,22.2,24.4,-2.2
2026-08-14 03:00:00,대구,ECMWF,2026-08-13 12:00:00,6,0,tcc,10.0,30.0,-20.0
2026-08-14 03:00:00,대구,GFS,2026-08-13 18:00:00,0,0,t2m,20.9,24.4,-3.5
2026-08-14 03:00:00,대구,GFS,2026-08-13 18:00:00,0,0,tcc,100.0,30.0,70.0
2026-08-14 03:00:00,대전,ECMWF,2026-08-13 12:00:00,6,0,t2m,22.8,23.7,-0.9
2026-08-14 03:00:00,대전,ECMWF,2026-08-13 12:00:00,6,0,tcc,43.0,50.0,-7.0
2026-08-14 03:00:00,대전,GFS,2026-08-13 18:00:00,0,0,t2m,21.2,23.7,-2.5
2026-08-14 03:00:00,대전,GFS,2026-08-13 18:00:00,0,0,tcc,23.0,50.0,-27.0
2026-08-14 03:00:00,부산,ECMWF,2026-08-13 12:00:00,6,0,t2m,26.7,25.0,1.7
2026-08-14 03:00:00,부산,ECMWF,2026-08-13 12:00:00,6,0,tcc,68.0,20.0,48.0
2026-08-14 03:00:00,부산,GFS,2026-08-13 18:00:00,0,0,t2m,26.3,25.0,1.3
2026-08-14 03:00:00,부산,GFS,2026-08-13 18:00:00,0,0,tcc,70.0,20.0,50.0
2026-08-14 03:00:00,서울,ECMWF,2026-08-13 12:00:00,6,0,t2m,25.5,25.1,0.4
2026-08-14 03:00:00,서울,ECMWF,2026-08-13 12:00:00,6,0,tcc,98.0,80.0,18.0
2026-08-14 03:00:00,서울,GFS,2026-08-13 18:00:00,0,0,t2m,24.5,25.1,-0.6
2026-08-14 03:00:00,서울,GFS,2026-08-13 18:00:00,0,0,tcc,88.0,80.0,8.0
2026-08-14 03:00:00,수원,ECMWF,2026-08-13 12:00:00,6,0,t2m,24.8,24.3,0.5
2026-08-14 03:00:00,수원,ECMWF,2026-08-13 12:00:00,6,0,tcc,77.0,70.0,7.0
2026-08-14 03:00:00,수원,GFS,2026-08-13 18:00:00,0,0,t2m,24.5,24.3,0.2
2026-08-14 03:00:00,수원,GFS,2026-08-13 18:00:00,0,0,tcc,60.0,70.0,-10.0
2026-08-14 03:00:00,인천,ECMWF,2026-08-13 12:00:00,6,0,t2m,25.6,25.5,0.1
2026-08-14 03:00:00,인천,ECMWF,2026-08-13 12:00:00,6,0,tcc,66.0,100.0,-34.0
2026-08-14 03:00:00,인천,GFS,2026-08-13 18:00:00,0,0,t2m,25.9,25.5,0.4
2026-08-14 03:00:00,인천,GFS,2026-08-13 18:00:00,0,0,tcc,94.0,100.0,-6.0
2026-08-14 03:00:00,전주,ECMWF,2026-08-13 12:00:00,6,0,t2m,23.4,24.2,-0.8
2026-08-14 03:00:00,전주,ECMWF,2026-08-13 12:00:00,6,0,tcc,47.0,30.0,17.0
2026-08-14 03:00:00,전주,GFS,2026-08-13 18:00:00,0,0,t2m,21.7,24.2,-2.5
2026-08-14 03:00:00,전주,GFS,2026-08-13 18:00:00,0,0,tcc,6.0,30.0,-24.0
2026-08-14 03:00:00,제주,ECMWF,2026-08-13 12:00:00,6,0,t2m,22.6,25.0,-2.4
2026-08-14 03:00:00,제주,ECMWF,2026-08-13 12:00:00,6,0,tcc,98.0,80.0,18.0
2026-08-14 03:00:00,제주,GFS,2026-08-13 18:00:00,0,0,t2m,22.9,25.0,-2.1
2026-08-14 03:00:00,제주,GFS,2026-08-13 18:00:00,0,0,tcc,100.0,80.0,20.0
2026-08-14 06:00:00,강릉,ECMWF,2026-08-13 12:00:00,9,0,t2m,23.3,23.0,0.3
2026-08-14 06:00:00,강릉,ECMWF,2026-08-13 12:00:00,9,0,tcc,98.0,90.0,8.0
2026-08-14 06:00:00,강릉,GFS,2026-08-13 18:00:00,3,0,dswrf,0.0,,
2026-08-14 06:00:00,강릉,GFS,2026-08-13 18:00:00,3,0,t2m,22.9,23.0,-0.1
2026-08-14 06:00:00,강릉,GFS,2026-08-13 18:00:00,3,0,tcc,100.0,90.0,10.0
2026-08-14 06:00:00,광주,ECMWF,2026-08-13 12:00:00,9,0,t2m,21.8,24.5,-2.7
2026-08-14 06:00:00,광주,ECMWF,2026-08-13 12:00:00,9,0,tcc,82.0,60.0,22.0
2026-08-14 06:00:00,광주,GFS,2026-08-13 18:00:00,3,0,dswrf,0.0,,
2026-08-14 06:00:00,광주,GFS,2026-08-13 18:00:00,3,0,t2m,20.3,24.5,-4.2
2026-08-14 06:00:00,광주,GFS,2026-08-13 18:00:00,3,0,tcc,100.0,60.0,40.0
2026-08-14 06:00:00,대구,ECMWF,2026-08-13 12:00:00,9,0,t2m,21.5,23.4,-1.9
2026-08-14 06:00:00,대구,ECMWF,2026-08-13 12:00:00,9,0,tcc,3.0,50.0,-47.0
2026-08-14 06:00:00,대구,GFS,2026-08-13 18:00:00,3,0,dswrf,1.0,,
2026-08-14 06:00:00,대구,GFS,2026-08-13 18:00:00,3,0,t2m,20.5,23.4,-2.9
2026-08-14 06:00:00,대구,GFS,2026-08-13 18:00:00,3,0,tcc,61.0,50.0,11.0
2026-08-14 06:00:00,대전,ECMWF,2026-08-13 12:00:00,9,0,t2m,22.3,23.2,-0.9
2026-08-14 06:00:00,대전,ECMWF,2026-08-13 12:00:00,9,0,tcc,46.0,70.0,-24.0
2026-08-14 06:00:00,대전,GFS,2026-08-13 18:00:00,3,0,dswrf,0.0,,
2026-08-14 06:00:00,대전,GFS,2026-08-13 18:00:00,3,0,t2m,21.0,23.2,-2.2
2026-08-14 06:00:00,대전,GFS,2026-08-13 18:00:00,3,0,tcc,56.0,70.0,-14.0
2026-08-14 06:00:00,부산,ECMWF,2026-08-13 12:00:00,9,0,t2m,26.0,24.8,1.2
2026-08-14 06:00:00,부산,ECMWF,2026-08-13 12:00:00,9,0,tcc,16.0,30.0,-14.0
2026-08-14 06:00:00,부산,GFS,2026-08-13 18:00:00,3,0,dswrf,1.0,,
2026-08-14 06:00:00,부산,GFS,2026-08-13 18:00:00,3,0,t2m,26.2,24.8,1.4
2026-08-14 06:00:00,부산,GFS,2026-08-13 18:00:00,3,0,tcc,81.0,30.0,51.0
2026-08-14 06:00:00,서울,ECMWF,2026-08-13 12:00:00,9,0,t2m,24.6,24.8,-0.2
2026-08-14 06:00:00,서울,ECMWF,2026-08-13 12:00:00,9,0,tcc,48.0,70.0,-22.0
2026-08-14 06:00:00,서울,GFS,2026-08-13 18:00:00,3,0,dswrf,0.0,,
2026-08-14 06:00:00,서울,GFS,2026-08-13 18:00:00,3,0,t2m,24.5,24.8,-0.3
2026-08-14 06:00:00,서울,GFS,2026-08-13 18:00:00,3,0,tcc,100.0,70.0,30.0
2026-08-14 06:00:00,수원,ECMWF,2026-08-13 12:00:00,9,0,t2m,24.3,24.5,-0.2
2026-08-14 06:00:00,수원,ECMWF,2026-08-13 12:00:00,9,0,tcc,38.0,70.0,-32.0
2026-08-14 06:00:00,수원,GFS,2026-08-13 18:00:00,3,0,dswrf,0.0,,
2026-08-14 06:00:00,수원,GFS,2026-08-13 18:00:00,3,0,t2m,24.0,24.5,-0.5
2026-08-14 06:00:00,수원,GFS,2026-08-13 18:00:00,3,0,tcc,100.0,70.0,30.0
2026-08-14 06:00:00,인천,ECMWF,2026-08-13 12:00:00,9,0,t2m,24.5,25.0,-0.5
2026-08-14 06:00:00,인천,ECMWF,2026-08-13 12:00:00,9,0,tcc,62.0,70.0,-8.0
2026-08-14 06:00:00,인천,GFS,2026-08-13 18:00:00,3,0,dswrf,0.0,,
2026-08-14 06:00:00,인천,GFS,2026-08-13 18:00:00,3,0,t2m,25.6,25.0,0.6
2026-08-14 06:00:00,인천,GFS,2026-08-13 18:00:00,3,0,tcc,100.0,70.0,30.0
2026-08-14 06:00:00,전주,ECMWF,2026-08-13 12:00:00,9,0,t2m,22.8,24.2,-1.4
2026-08-14 06:00:00,전주,ECMWF,2026-08-13 12:00:00,9,0,tcc,80.0,80.0,0.0
2026-08-14 06:00:00,전주,GFS,2026-08-13 18:00:00,3,0,dswrf,0.0,,
2026-08-14 06:00:00,전주,GFS,2026-08-13 18:00:00,3,0,t2m,21.3,24.2,-2.9
2026-08-14 06:00:00,전주,GFS,2026-08-13 18:00:00,3,0,tcc,99.0,80.0,19.0
2026-08-14 06:00:00,제주,ECMWF,2026-08-13 12:00:00,9,0,t2m,22.7,24.3,-1.6
2026-08-14 06:00:00,제주,ECMWF,2026-08-13 12:00:00,9,0,tcc,79.0,20.0,59.0
2026-08-14 06:00:00,제주,GFS,2026-08-13 18:00:00,3,0,dswrf,0.0,,
2026-08-14 06:00:00,제주,GFS,2026-08-13 18:00:00,3,0,t2m,23.0,24.3,-1.3
2026-08-14 06:00:00,제주,GFS,2026-08-13 18:00:00,3,0,tcc,100.0,20.0,80.0
2026-08-14 09:00:00,강릉,ECMWF,2026-08-13 12:00:00,12,0,t2m,24.2,23.5,0.7
2026-08-14 09:00:00,강릉,ECMWF,2026-08-13 12:00:00,12,0,tcc,100.0,80.0,20.0
2026-08-14 09:00:00,강릉,GFS,2026-08-13 18:00:00,6,0,dswrf,32.0,,
2026-08-14 09:00:00,강릉,GFS,2026-08-13 18:00:00,6,0,t2m,23.6,23.5,0.1
2026-08-14 09:00:00,강릉,GFS,2026-08-13 18:00:00,6,0,tcc,79.0,80.0,-1.0
2026-08-14 09:00:00,광주,ECMWF,2026-08-13 12:00:00,12,0,t2m,27.8,28.4,-0.6
2026-08-14 09:00:00,광주,ECMWF,2026-08-13 12:00:00,12,0,tcc,97.0,50.0,47.0
2026-08-14 09:00:00,광주,GFS,2026-08-13 18:00:00,6,0,dswrf,101.0,,
2026-08-14 09:00:00,광주,GFS,2026-08-13 18:00:00,6,0,t2m,26.5,28.4,-1.9
2026-08-14 09:00:00,광주,GFS,2026-08-13 18:00:00,6,0,tcc,95.0,50.0,45.0
2026-08-14 09:00:00,대구,ECMWF,2026-08-13 12:00:00,12,0,t2m,27.6,28.6,-1.0
2026-08-14 09:00:00,대구,ECMWF,2026-08-13 12:00:00,12,0,tcc,23.0,50.0,-27.0
2026-08-14 09:00:00,대구,GFS,2026-08-13 18:00:00,6,0,dswrf,124.0,,
2026-08-14 09:00:00,대구,GFS,2026-08-13 18:00:00,6,0,t2m,26.4,28.6,-2.2
2026-08-14 09:00:00,대구,GFS,2026-08-13 18:00:00,6,0,tcc,43.0,50.0,-7.0
2026-08-14 09:00:00,대전,ECMWF,2026-08-13 12:00:00,12,0,t2m,26.1,26.8,-0.7
2026-08-14 09:00:00,대전,ECMWF,2026-08-13 12:00:00,12,0,tcc,90.0,80.0,10.0
2026-08-14 09:00:00,대전,GFS,2026-08-13 18:00:00,6,0,dswrf,109.0,,
2026-08-14 09:00:00,대전,GFS,2026-08-13 18:00:00,6,0,t2m,26.1,26.8,-0.7
2026-08-14 09:00:00,대전,GFS,2026-08-13 18:00:00,6,0,tcc,100.0,80.0,20.0
2026-08-14 09:00:00,부산,ECMWF,2026-08-13 12:00:00,12,0,t2m,26.2,29.6,-3.4
2026-08-14 09:00:00,부산,ECMWF,2026-08-13 12:00:00,12,0,tcc,2.0,10.0,-8.0
