var,city,model,lead,n,ME,MAE
dswrf,강릉,ECMWF,000-024h,23,89.2,116.74
dswrf,강릉,ECMWF,024-048h,20,109.82,131.82
dswrf,강릉,ECMWF,048-072h,16,207.58,207.58
dswrf,강릉,ECMWF,072-120h,16,219.6,219.6
dswrf,강릉,GFS,000-024h,167,55.01,100.08
dswrf,강릉,GFS,024-048h,159,45.76,112.74
dswrf,강릉,GFS,048-072h,149,57.0,121.18
dswrf,강릉,GFS,072-120h,258,33.22,143.75
dswrf,강릉,GFS,120-240h,3,-76.22,140.73
dswrf,강릉,KIM,000-024h,118,67.46,121.58
dswrf,강릉,KIM,024-048h,108,46.36,130.2
dswrf,강릉,KIM,048-072h,98,62.98,126.12
dswrf,강릉,KIM,072-120h,5,197.85,197.85
dswrf,광주,ECMWF,000-024h,23,-92.45,127.57
dswrf,광주,ECMWF,024-048h,20,-106.23,138.34
dswrf,광주,ECMWF,048-072h,16,-181.88,192.74
dswrf,광주,ECMWF,072-120h,16,-215.98,215.98
dswrf,광주,GFS,000-024h,170,-15.91,140.3
dswrf,광주,GFS,024-048h,168,-13.57,127.57
dswrf,광주,GFS,048-072h,156,2.93,132.84
dswrf,광주,GFS,072-120h,266,-35.76,148.24
dswrf,광주,GFS,120-240h,3,-306.19,367.78
dswrf,광주,KIM,000-024h,121,-1.65,99.01
dswrf,광주,KIM,024-048h,108,-22.06,96.64
dswrf,광주,KIM,048-072h,98,-61.54,128.17
dswrf,광주,KIM,072-120h,5,-13.53,209.01
dswrf,대구,ECMWF,000-024h,23,20.07,66.66
dswrf,대구,ECMWF,024-048h,20,23.05,63.57
dswrf,대구,ECMWF,048-072h,16,83.51,108.21
dswrf,대구,ECMWF,072-120h,16,76.07,90.53
dswrf,대구,GFS,000-024h,170,56.5,100.27
dswrf,대구,GFS,024-048h,168,59.53,107.86
dswrf,대구,GFS,048-072h,156,52.75,107.35
dswrf,대구,GFS,072-120h,266,7.76,117.25
dswrf,대구,GFS,120-240h,3,-332.48,332.48
dswrf,대구,KIM,000-024h,121,51.88,97.01
dswrf,대구,KIM,024-048h,108,43.89,103.71
dswrf,대구,KIM,048-072h,98,34.04,129.57
dswrf,대구,KIM,072-120h,5,122.46,125.07
dswrf,대전,ECMWF,000-024h,23,15.28,61.56
